id,userId,deviceId,time,consume,totalConsume,isAtHome,isAnomalous
1,1,1,2018-03-01 00:00:00,10,10,U,0
2,1,1,2018-03-01 01:00:00,0,10,U,0
3,1,1,2018-03-01 02:00:00,0,10,U,0
4,1,1,2018-03-01 03:00:00,0,10,U,0
5,1,1,2018-03-01 04:00:00,0,10,U,0
6,1,1,2018-03-01 05:00:00,0,10,U,0
7,1,1,2018-03-01 06:00:00,0,10,U,0
8,1,1,2018-03-01 07:00:00,0,10,U,0
9,1,1,2018-03-01 08:00:00,0,10,U,0
10,1,1,2018-03-01 09:00:00,5,15,U,0
11,1,1,2018-03-01 10:00:00,12,27,U,0
12,1,1,2018-03-01 11:00:00,6,33,U,0
13,1,1,2018-03-01 12:00:00,5,38,U,0
14,1,1,2018-03-01 13:00:00,6,44,U,0
15,1,1,2018-03-01 14:00:00,12,56,U,0
16,1,1,2018-03-01 15:00:00,0,56,U,0
17,1,1,2018-03-01 16:00:00,5,61,U,0
18,1,1,2018-03-01 17:00:00,5,66,U,0
19,1,1,2018-03-01 18:00:00,0,66,U,0
20,1,1,2018-03-01 19:00:00,27,93,U,0
21,1,1,2018-03-01 20:00:00,0,93,U,0
22,1,1,2018-03-02 01:00:00,25,118,U,0
23,1,1,2018-03-02 02:00:00,0,118,U,0
24,1,1,2018-03-02 03:00:00,0,118,U,0
25,1,1,2018-03-02 04:00:00,0,118,U,0
26,1,1,2018-03-02 05:00:00,0,118,U,0
27,1,1,2018-03-02 06:00:00,0,118,U,0
28,1,1,2018-03-02 07:00:00,0,118,U,0
29,1,1,2018-03-02 08:00:00,18,136,U,0
30,1,1,2018-03-02 09:00:00,23,159,U,0
31,1,1,2018-03-02 10:00:00,16,175,U,0
32,1,1,2018-03-02 11:00:00,6,181,U,0
33,1,1,2018-03-02 12:00:00,0,181,U,0
34,1,1,2018-03-02 13:00:00,0,181,U,0
35,1,1,2018-03-02 14:00:00,0,181,U,0
36,1,1,2018-03-02 15:00:00,0,181,U,0
37,1,1,2018-03-02 16:00:00,0,181,U,0
38,1,1,2018-03-02 17:00:00,20,201,U,0
39,1,1,2018-03-02 18:00:00,24,225,U,0
40,1,1,2018-03-02 19:00:00,14,239,U,0
41,1,1,2018-03-02 20:00:00,14,253,U,0
42,1,1,2018-03-02 21:00:00,13,266,U,0
43,1,1,2018-03-02 22:00:00,16,282,U,0
44,1,1,2018-03-02 23:00:00,60,342,U,0
45,1,1,2018-03-03 00:00:00,5,347,U,0
46,1,1,2018-03-03 09:00:00,9,356,U,0
47,1,1,2018-03-03 10:00:00,112,468,U,0
48,1,1,2018-03-03 11:00:00,5,473,U,0
49,1,1,2018-03-03 12:00:00,0,473,U,0
50,1,1,2018-03-03 13:00:00,2,475,U,0
51,1,1,2018-03-03 14:00:00,0,475,U,0
52,1,1,2018-03-03 15:00:00,1,476,U,0
53,1,1,2018-03-03 16:00:00,6,482,U,0
54,1,1,2018-03-03 17:00:00,1,483,U,0
55,1,1,2018-03-03 18:00:00,4,487,U,0
56,1,1,2018-03-03 19:00:00,9,496,U,0
57,1,1,2018-03-03 20:00:00,0,496,U,0
58,1,1,2018-03-04 05:00:00,17,513,U,0
59,1,1,2018-03-04 06:00:00,0,513,U,0
60,1,1,2018-03-04 07:00:00,0,513,U,0
61,1,1,2018-03-04 08:00:00,1,514,U,0
62,1,1,2018-03-04 09:00:00,0,514,U,0
63,1,1,2018-03-04 10:00:00,35,549,U,0
64,1,1,2018-03-04 11:00:00,0,549,U,0
65,1,1,2018-03-04 12:00:00,0,549,U,0
66,1,1,2018-03-04 13:00:00,89,638,U,0
67,1,1,2018-03-04 14:00:00,0,638,U,0
68,1,1,2018-03-04 15:00:00,8,646,U,0
69,1,1,2018-03-04 16:00:00,19,665,U,0
70,1,1,2018-03-04 17:00:00,8,673,U,0
71,1,1,2018-03-04 18:00:00,7,680,U,0
72,1,1,2018-03-04 19:00:00,9,689,U,0
73,1,1,2018-03-04 20:00:00,5,694,U,0
74,1,1,2018-03-04 21:00:00,18,712,U,0
75,1,1,2018-03-04 22:00:00,16,728,U,0
76,1,1,2018-03-04 23:00:00,0,728,U,0
77,1,1,2018-03-05 00:00:00,0,728,U,0
78,1,1,2018-03-05 01:00:00,9,737,U,0
79,1,1,2018-03-05 02:00:00,5,742,U,0
80,1,1,2018-03-05 03:00:00,0,742,U,0
81,1,1,2018-03-05 04:00:00,0,742,U,0
82,1,1,2018-03-05 05:00:00,0,742,U,0
83,1,1,2018-03-05 06:00:00,0,742,U,0
84,1,1,2018-03-05 07:00:00,0,742,U,0
85,1,1,2018-03-05 08:00:00,0,742,U,0
86,1,1,2018-03-05 09:00:00,0,742,U,0
